Rafael,La escuela de Atenas
Tiziano,Amor Sacro y Amor profano
Gaifū,Vista del monte Fiji
Bouts,Deploracion de Cristo
Durero,Autoretrato
El Bosco,Jardin de las delicias
David ,El juicio de los Horacios
Bellini,San Jeronimo en el desierto
Baroici,Virgen Maria
Rafael,Autoretrato
Craesbeek,El fumador
Santi,Cristo sujetado por dos angeles
Durero,Adoracion a la Santisima Trinida
Miguel Angel,Santo Entierro
El Bosco,Jardin de las delicias 2
Rembrandt,La Guardia de la Noche
David ,Brutus
Caravaggio,Jugadores de Cartas
David ,La muerte de Socrates
Vermeer ,La Lechera
Katsushika Hokusai,La gran ola de Kanagawa
Miguel Angel,Capilla sixtina1
Miguel Angel,La crucificcion de San Pedro
